Boiler Load (MW),Inlet NOx (mg/m³),Inlet O₂ (%),Flue Gas Flow (m³/h),NH₃ Flow (kg/h),Flue Gas Temp (°C),Coal Feed Rate (t/h),NOx Emission (mg/m³)
743.036387,317.5594158,224.5087357,99.83447376,4.904680422,352.0520622,1349.553645,34.96347792
741.8387177,316.7257251,221.3886447,98.978278,4.914494148,352.0292625,1354.278916,33.78175346
740.2958391,316.795864,219.1609749,97.73002536,4.891802673,352.0064626,1355.458562,34.20783086
739.2696812,317.413904,217.3709097,96.9190681,4.860206415,351.9836627,1348.046287,33.57789656
738.5851051,320.2949326,217.8859654,97.64531899,4.893973997,351.9608627,1355.024504,32.36371038
738.4130938,323.9166857,220.3443429,97.05455671,4.875731887,351.9608627,1356.165252,32.39028663
738.4131442,327.8934884,222.6665078,97.39603047,4.841249497,351.9608627,1358.324353,32.29448802
739.6142133,331.9121685,221.3373809,97.88045515,4.820582102,351.9608627,1363.609769,31.40425999
741.155739,336.0707888,221.627957,97.93249841,4.811746963,351.9378626,1376.358073,31.5303336
742.8679028,338.1723416,222.5189354,97.60080578,4.784915079,351.9148628,1368.418317,31.56972253
744.9233604,338.7338601,217.6329182,95.75306218,4.765613694,351.891863,1369.500556,30.51874428
746.8068231,334.6992435,210.3691122,93.66681458,4.762170715,351.868863,1360.447167,29.47473249
748.1775286,330.677665,204.6115508,90.36412615,4.73839902,351.8458631,1369.655534,28.73604709
748.6902074,326.4865523,200.3210326,88.68191015,4.714642151,351.8458631,1365.425005,27.92545073
748.5184216,321.8422667,196.0055125,86.33714164,4.656402593,351.8458631,1370.037809,27.21577156
747.8337259,316.6710159,192.3664283,84.32470409,4.574133303,351.8458631,1368.826261,26.22080322
746.6338526,315.4941026,184.2812937,80.05627639,4.425289421,351.8458631,1380.190768,25.11989472
744.7490651,314.7683431,180.9504682,79.40813978,4.389752065,351.8458631,1372.788751,24.9784175
742.5216066,314.2794979,180.0563423,78.39437853,4.334539632,351.8458631,1367.402708,25.08322886
740.4676648,313.9048114,180.8282534,78.63141153,4.250449391,351.8458631,1364.125656,24.23813596
738.5845755,313.9782878,179.2701372,76.92513176,4.159972587,351.8458631,1369.336128,24.07731146
737.2141856,314.2023607,182.2072432,78.29559663,4.211531957,351.8458631,1372.442832,24.56359411
736.3574573,314.7609891,185.3000133,78.58763046,4.253794512,351.8458631,1365.437348,24.411063
736.3579184,316.6490851,187.8632296,79.41332749,4.267058792,351.8458631,1372.675149,23.96323006
736.7006757,319.715041,191.0760432,80.56565972,4.265229905,351.8458631,1360.787989,25.04574477
737.0426483,323.5074783,194.7804452,81.68421078,4.317685451,351.8458631,1359.589611,25.00178109
737.7286932,327.5329302,197.5820692,82.62319724,4.40098409,351.8458631,1349.996564,24.33090987
738.9286291,329.8610199,199.2940016,82.79281148,4.456527107,351.8458631,1347.623003,25.06964297
739.95487,329.1410546,201.6933355,84.36034473,4.481721487,351.8458631,1338.984196,26.1476556
741.1542314,327.3574446,201.2262868,83.83912022,4.515807612,351.8458631,1344.201113,25.73337953
742.0089165,324.4262852,198.236549,82.22243378,4.491700858,351.8458631,1352.247939,25.15589651
742.3515198,321.0127096,194.6820026,80.57636961,4.449059019,351.8458631,1353.313359,25.89033268
742.3529201,318.9657547,190.5502139,79.42633017,4.36523282,351.8458631,1353.61661,25.865643
741.493825,319.4172002,186.0558067,77.27489408,4.329622558,351.8458631,1349.801036,24.97466772
739.952675,320.2143909,184.2748536,77.01427182,4.304191798,351.8458631,1344.223026,24.29743966
739.2709928,321.3411687,183.8491214,76.2987442,4.304515485,351.8458631,1332.082208,24.57982116
738.4127275,322.2946605,185.4586835,77.14226504,4.331699297,351.8458631,1331.546958,24.54088107
737.3845797,323.4826348,187.5601311,75.66086483,4.419399024,351.8458631,1331.864327,24.6471131
737.2134755,325.8945615,191.51016,77.19154386,4.48471017,351.8688632,1333.928998,24.48322728
737.7286259,329.0402022,196.1488022,77.66269166,4.537143606,351.8918629,1340.932609,25.19129154
738.2433177,331.8915564,201.7171811,78.33539438,4.590866397,351.9148627,1344.200729,26.14889754
739.2700191,334.7716209,204.988959,77.83746391,4.618144259,351.9378627,1336.488146,26.1699769
740.984082,333.493525,206.5263031,78.49501163,4.646499136,351.9608627,1334.354318,25.92597577
742.5236969,331.2724156,207.2704447,78.24233173,4.678349186,351.9608627,1341.430442,26.10666884
744.2382074,327.7757855,205.5433588,77.12004386,4.688296758,351.9608627,1338.9653,26.87340532
745.0926539,323.631648,204.4072096,76.95143258,4.684728063,351.9608627,1341.911329,26.50305367
745.2628174,318.5803942,200.7436495,75.29236377,4.672821646,351.9608627,1349.844851,25.54637032
743.8912366,317.9293484,192.7298634,71.81258536,4.659002208,351.9608627,1350.711416,26.03513396
742.5232113,319.1779216,183.8192725,68.94569966,4.643734397,351.9608627,1347.180561,26.10448821
740.4682995,321.6833303,177.0461989,66.18304003,4.6540119,351.9608627,1343.129695,25.0474729
739.099393,324.9675538,167.0371743,62.27931885,4.545939734,351.9608627,1344.64937,24.5030547
738.4137896,328.4264021,159.9511795,59.79238781,4.391941354,351.9608627,1346.610899,24.60024687
738.5842447,331.2803396,158.1332749,58.75956588,4.247873822,351.9608627,1345.885643,23.83275762
738.9265112,332.6014385,162.6612414,59.92640967,4.185764647,351.9608627,1347.793798,23.65997829
739.6124172,332.479735,166.7703348,60.51660108,4.070515673,351.9608627,1350.805037,24.53658183
740.2984024,331.1986246,172.3742734,62.01316356,4.060312218,351.9608627,1355.420826,25.18193822
740.6394426,329.657077,179.7656644,64.55108386,4.165199629,351.9608627,1352.420158,25.00707869
740.9819466,328.5466162,186.7565826,66.37139458,4.269121969,351.9608627,1353.664805,25.56127495
741.496603,327.4886844,189.3099191,66.84792813,4.302921027,351.9836628,1357.472182,26.48622207
741.8389872,326.8442712,189.5468155,66.97406032,4.394229214,352.0064625,1357.786423,26.77430843
741.8386647,326.4722816,190.7075664,67.52692102,4.495182995,352.0292624,1350.455011,26.48029743
741.838115,326.4848651,191.4358638,67.23363199,4.506903355,352.0520623,1354.817298,26.89741432
741.8385862,326.5914025,191.164604,67.1511114,4.503175365,352.0748623,1348.151755,27.24889064
741.6676253,327.4180378,189.4717166,66.35079868,4.528688897,352.0748623,1337.092102,27.66413518
741.6681751,329.8012228,186.8647267,65.38304454,4.558800498,352.0748623,1331.623439,27.44071858
741.839649,333.3518629,181.595254,63.10971209,4.51344181,352.0748623,1334.22172,27.16867791
742.8690008,334.8347656,179.5350101,63.04564734,4.462498271,352.0748623,1324.288761,27.41622624
743.379369,336.3243287,182.0572165,64.04798019,4.385695874,352.0748623,1331.730376,28.06426277
743.8934545,337.9091064,182.0446618,63.35335774,4.338679274,352.0748623,1340.727077,27.46445659
744.4087798,338.0219774,177.4680824,61.53574347,4.373528609,352.0748623,1346.084307,26.4445723
744.9230854,336.1517913,178.7580964,62.66639226,4.450104948,352.0748623,1341.228161,27.27724437
744.5790634,335.8193954,181.5859213,63.43617758,4.448597565,352.0748623,1345.848616,27.99224977
745.0942965,335.7805894,179.2045583,61.83709731,4.441229936,352.0748623,1338.079574,26.66299853
745.0922028,335.2015947,176.4194615,60.79997011,4.464929925,352.0976624,1339.203135,26.89284579
744.9215775,334.281745,179.4927024,62.24051895,4.454898876,352.1204622,1342.07759,28.1514512
744.7515466,333.0829855,182.3414327,62.73941133,4.434236131,352.143262,1349.062276,28.11294374
744.7513409,331.6757069,183.2984952,62.56332102,4.406341496,352.166062,1362.921419,27.71657966
744.2363062,330.234915,186.4025046,63.48610049,4.44249191,352.188862,1376.643745,29.0999276
744.2366892,329.1163779,188.283705,64.21712541,4.508372481,352.188862,1374.810666,29.61579336
744.237012,326.5792323,186.9480037,63.4713445,4.599703034,352.188862,1376.78962,28.86571945
743.8938728,323.1561645,180.8089354,61.25744197,4.575472544,352.188862,1374.059312,28.93931275
743.3796321,319.8556172,175.9385952,59.9626675,4.532103412,352.188862,1367.457218,29.73582624
742.5222255,317.0395243,175.2795952,60.07634672,4.4886018,352.188862,1361.638053,29.11074865
741.3235446,316.0421397,171.9974051,58.435876,4.404940989,352.188862,1366.585455,28.66923851
740.1259604,316.3954358,168.1382317,57.18743732,4.291923592,352.188862,1358.37449,28.86463803
739.442261,318.0598893,168.5840921,56.99533635,4.247026502,352.188862,1346.931505,29.20429476
738.9274453,320.0083653,174.199312,58.62093999,4.275136597,352.2118621,1353.9358,29.10962639
738.9267999,321.9307567,174.6168775,58.24629725,4.307218684,352.2348618,1350.911297,29.61669963
739.2693893,321.6671147,174.8931214,58.03916776,4.362679331,352.2578616,1347.724407,29.40818828
739.440211,320.9833831,176.0073533,58.33393061,4.415057072,352.2808616,1332.486544,29.71846971
739.2691993,320.575783,172.5130821,56.61631583,4.454149555,352.3038616,1336.969027,30.06016596
739.2699839,320.5499215,171.0872448,56.79643714,4.487387484,352.3038616,1329.133276,30.24092727
739.0976557,320.8123057,169.5821788,56.0680303,4.403460467,352.3038616,1326.027305,29.67580338
739.2700108,321.3876628,168.3006041,55.3120836,4.280476605,352.3038616,1317.489773,30.12588855
739.7840139,322.2093375,170.0946857,55.9688672,4.228663968,352.3038616,1330.218138,31.54809592
739.9535461,322.81553,174.1542953,57.29732671,4.165731862,352.3038616,1334.308521,31.54556981
740.469423,323.4173545,177.1298605,58.12512879,4.138412272,352.3038616,1333.646176,31.56809368
740.9823545,324.0507157,182.3680288,59.86001378,4.135363927,352.3038616,1337.158729,33.12882208
740.9815736,324.4789432,184.409993,60.13442679,4.157506646,352.3038616,1342.973417,33.81671083
740.9825635,324.905057,183.7669678,60.39997294,4.220399437,352.3038616,1350.024424,33.55702119
740.9815804,325.1584859,184.734239,60.77488016,4.327385122,352.3038616,1352.864249,33.80338641
740.296294,325.4892858,184.1350101,60.65203106,4.346009517,352.3038616,1353.581704,34.90772226
740.2987068,325.604502,182.6711124,60.16882143,4.367328146,352.3038616,1354.849248,34.37484169
740.2973307,325.8208282,183.214014,60.42142595,4.390394956,352.3038616,1356.037544,34.9376591
739.9536951,325.8633424,185.208116,61.47886884,4.407348127,352.3038616,1339.884786,36.03828525
740.2979126,326.0082715,187.4728622,62.43319791,4.395643409,352.3038616,1338.217391,36.52843075
740.639686,323.4810761,189.1018789,63.03649094,4.361758465,352.3038616,1342.653756,36.79457037
739.9526835,321.010481,191.0685257,63.93668754,4.376522678,352.3038616,1343.739463,37.70945519
739.440193,318.326189,193.3346918,65.24906321,4.393701621,352.3038616,1339.973008,38.57895636
738.7547931,315.3769132,197.7745621,67.37960127,4.409188493,352.3038616,1351.146655,39.35832758
737.212067,311.5931673,200.5984979,68.1437195,4.441550531,352.3038616,1351.777484,39.97838947
735.3274252,310.1316412,201.7579606,68.53502089,4.548671512,352.3038616,1345.200231,40.4154917
733.7869737,308.980625,201.8860876,69.41620056,4.618140544,352.3038616,1347.970592,41.08217432
731.902439,308.0589838,198.735371,67.9710908,4.635765466,352.3038616,1347.461291,40.96275887
730.1894749,306.9971285,194.3684331,66.99135858,4.626459729,352.3038616,1341.933803,40.56417003
728.9908968,306.4598727,189.2583041,65.51332876,4.559635911,352.3038616,1336.456006,39.78202428
727.9621738,306.1331201,181.8641037,62.64099948,4.429706142,352.3038616,1338.363547,38.1478512
727.1061885,306.0372239,174.9121737,60.41800159,4.356173782,352.3038616,1335.670149,37.68363461
726.4208391,307.5669986,171.8840422,59.54544312,4.208364323,352.3038616,1333.2419,36.71544892
726.2511272,310.6119157,169.4155983,58.25677937,4.040139889,352.3038616,1327.814029,35.1668288
726.2509678,314.5637737,166.7498094,56.61347637,3.998470904,352.3038616,1328.052587,35.36020697
726.9363963,319.0982632,166.3363316,56.35696112,4.041966567,352.3038616,1329.634717,34.90775991
728.3078663,324.1608905,166.5042667,56.04771718,4.059743229,352.3038616,1322.436619,33.87006577
730.019542,327.8554254,165.753867,54.99659091,4.111046412,352.3038616,1315.852609,34.58515687
731.5606145,330.058716,167.5434185,55.36985531,4.205917541,352.3038616,1321.79201,34.52543509
733.274422,330.9170471,170.551736,55.6233554,4.286329858,352.3038616,1322.506393,33.62267281
734.8160792,330.9552508,171.9581801,55.59196306,4.374878813,352.3038616,1300.179244,33.62827976
735.6718909,330.6039301,170.3469879,54.59513712,4.445349735,352.3038616,1296.738666,34.35815989
736.7006143,330.0968606,169.1006665,54.48435617,4.458918287,352.3038616,1300.053285,33.78671172
737.7283447,329.3627298,164.3481004,51.62872506,4.430642722,352.2808615,1291.123095,32.72171424
738.4127612,328.4895075,159.1333945,50.30557858,4.386031609,352.2578617,1289.80708,32.54847806
738.5828216,327.6129652,151.6016807,47.43747577,4.287864463,352.2348619,1298.680557,31.88649695
739.0988489,326.5353933,143.2226856,43.94529277,4.173158964,352.2118619,1299.541378,30.71888788
739.2700347,325.2819093,137.3947047,41.90964256,4.103007813,352.188862,1310.527608,29.8430023
739.0976216,325.4112367,134.9062891,40.71033684,3.998554597,352.188862,1315.425952,28.99198012
739.0983777,327.24341,130.7583898,38.38364699,3.911140153,352.1660618,1316.234355,28.66686549
739.9564297,330.2435987,128.2390422,37.41551917,3.89641538,352.1432621,1316.451073,28.19672684
740.4688315,331.3019198,128.8093389,37.69100449,3.889318459,352.1204623,1324.144267,28.04553653
740.9818251,330.4093061,128.9814405,37.02131257,3.819021731,352.0976623,1325.168059,28.27271411
741.8390378,328.7600786,127.8353954,36.75795118,3.812467214,352.0748623,1326.275452,28.47082938
742.3521545,325.4818613,128.9019639,37.67224535,3.825323471,352.0748623,1319.942831,28.1803577
742.0086138,320.3617751,131.8874211,38.42038161,3.798692483,352.0748623,1317.717412,28.87050562
741.6670241,316.7281057,135.9214125,40.20933575,3.78284081,352.0748623,1326.238077,30.07449606
741.1532469,315.8079573,138.991319,41.064731,3.816668504,352.0748623,1331.59069,30.42759345
740.6401064,315.2991927,143.0435492,42.35128389,3.854007028,352.0748623,1324.916802,30.76868128
740.469136,314.7321134,148.700054,44.4430875,3.903578512,352.0748623,1327.969982,33.01918533
740.2962242,313.8381261,155.6268446,46.91885263,4.013196718,352.0748623,1333.825048,34.15064178
740.4691619,312.8906825,158.6928377,47.19427615,4.090354107,352.0748623,1331.087974,34.16268971
740.6395972,312.0373656,162.6394866,48.96801216,4.224213429,352.0748623,1326.170943,35.86095518
740.8115462,311.1906417,166.9499075,50.85260786,4.347392788,352.0748623,1329.325004,37.68809232
741.1549095,310.4205391,168.451607,51.28605215,4.467658293,352.0748623,1327.745648,37.71165133
741.4955764,310.1197388,168.6165679,51.73307163,4.549751803,352.0748623,1329.967743,37.90397819
742.1831645,310.2096488,169.1506646,52.01697864,4.652834898,352.0748623,1325.930971,39.04269896
742.5231288,310.2782176,166.3923404,51.19394348,4.661783487,352.0748623,1323.962033,39.81194526
742.5229691,310.2910077,163.2608534,50.70726195,4.671358769,352.0748623,1323.480568,39.34899522
741.8375973,310.5398941,161.72074,50.17774744,4.644334086,352.0748623,1329.354245,38.97633461
741.6681066,310.8966397,160.6314304,49.86243775,4.612828399,352.0748623,1321.933625,39.29198638
740.4676627,311.2850762,160.0711002,50.18924642,4.552379942,352.0748623,1322.33509,39.48750541
739.4392374,311.6474471,159.6436206,49.84860437,4.518850654,352.0748623,1333.669804,39.35568173
738.9274096,312.2792596,159.854689,49.97851537,4.526347681,352.0748623,1330.483686,39.68761946
738.5840614,313.2299716,161.4368583,50.99926757,4.54938968,352.0748623,1329.542624,39.77880559
738.2417591,314.0922188,163.0742642,51.41325541,4.5367678,352.0748623,1331.112784,39.88909811
738.0696884,314.7513397,163.0421578,51.5635934,4.550277906,352.0748623,1335.329636,40.04121288
738.0694641,315.7467952,163.4106799,51.72449195,4.607345042,352.0748623,1331.73534,39.84567283
737.7274029,316.8554528,164.0550972,52.08375483,4.612927721,352.0748623,1332.877304,40.21174739
737.556331,317.7141333,164.7854849,52.14010521,4.602868429,352.0748623,1327.649527,40.23774245
737.5573426,318.4950853,164.2885175,52.36991073,4.636695984,352.0748623,1326.396549,39.46418475
737.5559384,319.3195809,163.0235953,51.67874271,4.696270919,352.0748623,1327.299857,39.64855301
737.8989923,320.0000627,162.8992012,52.19095319,4.71369927,352.0748623,1320.364239,40.40160155
737.8977433,320.4954367,162.2588784,51.84198868,4.661687023,352.0748623,1310.988251,40.04339846
738.2421421,320.8320145,161.074103,52.03112789,4.608315485,352.0748623,1317.839726,39.29200997
738.0700113,321.122559,160.3407589,51.99972994,4.59366096,352.0748623,1321.525757,40.2597491
738.2417591,321.3620227,159.9008427,52.10459931,4.56967153,352.0976624,1328.67128,40.89447967
738.4133781,321.6791928,160.1303264,52.41078132,4.537885128,352.1204622,1333.781361,39.76594064
738.7549776,321.8833083,161.233675,52.68489314,4.523505557,352.143262,1348.857449,39.66589359
738.926983,322.1986915,162.4759907,53.17012877,4.563440109,352.166062,1352.809401,41.41960221
739.4412566,322.7235123,163.5982105,53.5912546,4.649146207,352.188862,1353.079735,41.20154669
739.6115736,323.092167,164.9753495,54.05786631,4.69088395,352.2118621,1350.224448,40.16592765
739.6116336,323.2927208,164.5799584,53.67693639,4.650651545,352.2348618,1345.824842,40.37498961
739.4396612,323.5356942,163.5081171,53.67252932,4.623761544,352.2578616,1343.471164,41.18321505
739.4416157,323.8245595,162.8759052,53.47345393,4.616361115,352.2808616,1342.798278,40.63598623
739.0980895,323.9314556,162.0323656,53.24934789,4.552893131,352.3038616,1345.499153,40.03020009
738.7548655,324.5327016,160.9605836,53.16800348,4.482655886,352.3266617,1346.867379,40.43190115
738.9281494,326.7897114,160.4574046,53.36247958,4.461124685,352.3494614,1359.224969,40.83910489
739.4411966,330.323946,161.2818839,53.50895079,4.481327279,352.3722613,1374.055373,40.95388708
740.1272355,333.2695755,164.1692495,54.85854166,4.478234395,352.4178613,1379.620959,41.56248051
741.3262614,333.8321508,165.9717486,55.85417471,4.475240516,352.4634611,1378.959961,42.04090628
742.6954174,333.2685308,167.8453318,56.82334944,4.501450063,352.4862609,1379.181759,42.95380313
743.551523,331.1915156,171.844414,58.45212277,4.601211025,352.532061,1386.689867,44.25844458
744.064673,327.4151985,178.2908659,61.54718181,4.666088248,352.5778607,1377.957469,44.51138165
744.065616,323.2423936,181.2332043,62.91597076,4.700129772,352.6236606,1381.473101,45.58297597
743.7234945,321.3293371,183.2593327,64.53646567,4.769760281,352.6694603,1379.206602,46.89204623
743.3809051,320.8715209,185.5797849,66.18290081,4.889903585,352.7152601,1387.481567,46.17098285
742.8661932,320.5831792,184.5112273,65.43079268,4.925559377,352.7608602,1382.267335,45.99413773
742.523437,320.2709682,182.3813468,65.69509767,4.924161605,352.80646,1385.377176,46.84681893
742.1814643,319.9941983,179.4128338,65.00656869,4.896195384,352.8522599,1375.591998,45.63376518
741.323474,319.7544962,174.2934096,62.54916403,4.843579857,352.8980596,1369.303956,43.74791218
740.81165,319.8171959,171.2411382,61.51687969,4.784282865,352.9438594,1361.786234,44.64603432
740.812598,321.0523011,171.9660613,62.13635378,4.707784359,352.9896595,1356.648167,44.28578794
741.1545043,323.8181777,174.7090872,63.08092844,4.676073195,353.0354592,1349.995911,43.09266335
742.0114107,327.4345015,178.2240526,64.15044066,4.727362587,353.058259,1353.154813,43.79349347
743.3805634,329.2924778,178.6379505,64.01106083,4.774202444,353.1038591,1363.353322,44.66925885
744.2360628,329.8165024,181.330492,65.95316369,4.838252342,353.1494588,1357.505041,43.69093356
744.7505182,329.9263593,184.950637,67.4561866,4.909690452,353.1722587,1364.079472,43.70441181
745.265352,328.6027094,184.3733836,66.98015498,4.94113694,353.2180588,1364.31202,44.45572609
745.2649694,324.2090846,182.0299977,66.52722336,4.939848735,353.2638585,1369.848195,44.56690796
744.5772677,321.0685984,183.4831274,67.71069033,4.943011091,353.2868583,1372.419093,43.5960141
743.8930703,319.168492,184.1578841,67.57617921,4.896299551,353.3098583,1378.259563,43.56351965
742.8656089,317.2089045,182.7925923,67.20359667,4.892134149,353.3556584,1378.029415,43.94865759
741.4957003,316.4503708,183.2629049,67.65205556,4.933931686,353.3784581,1379.473645,43.64947853
739.6104048,317.0305643,183.2052628,67.54660751,4.927508754,353.4012579,1369.476168,42.64662152
738.58448,318.8208824,181.4151639,66.68695672,4.874561031,353.4240579,1359.568842,42.4713603
738.4154275,322.4270724,180.0170856,66.70216705,4.86168228,353.469658,1348.978903,42.3968977
738.7567136,326.6931962,181.7305226,67.72823318,4.871127718,353.4924577,1346.233261,42.1918567
739.6128024,325.4669348,182.8778338,67.64916708,4.876484265,353.5152576,1347.873064,41.70615625
740.8103038,324.2708112,181.4178975,67.00376652,4.877330505,353.5380575,1356.887134,41.38700315
